datasetID	asv	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	otu
SBDI-ASV-191208	ASVBAC000178	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	LE011-02	sp1		
SBDI-ASV-191208	ASVBAC001809	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	RCC307			
SBDI-ASV-191208	ASVBAC000181	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nodularia			
SBDI-ASV-191208	ASVBAC000019	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	RCC307			
SBDI-ASV-191208	ASVBAC001923	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	LE011-02	sp1		
SBDI-ASV-191208	ASVBAC001972	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae				
SBDI-ASV-191208	ASVBAC000002	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	RCC307			
SBDI-ASV-191208	ASVBAC002031	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	RCC307			
SBDI-ASV-191208	ASVBAC002042	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	Cyanobium			
SBDI-ASV-191208	ASVBAC002048	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	Cyanobium			
SBDI-ASV-191208	ASVBAC000205	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	Cyanobium			
SBDI-ASV-191208	ASVBAC002068	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	Cyanobium			
SBDI-ASV-191208	ASVBAC000211	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nodularia	spumigena		
SBDI-ASV-191208	ASVBAC000216	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	RCC307			
SBDI-ASV-191208	ASVBAC002178	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	RCC307			
SBDI-ASV-191208	ASVBAC000223	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	RCC307			
SBDI-ASV-191208	ASVBAC002291	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	RCC307			
SBDI-ASV-191208	ASVBAC002349	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	LE011-02	sp1		
SBDI-ASV-191208	ASVBAC002370	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	Synechococcus_C			
SBDI-ASV-191208	ASVBAC002396	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	RCC307			
SBDI-ASV-191208	ASVBAC002455	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	RCC307			
SBDI-ASV-191208	ASVBAC002486	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	LE011-02	sp1		
SBDI-ASV-191208	ASVBAC000025	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	Synechococcus_C			
SBDI-ASV-191208	ASVBAC002546	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	RCC307			
SBDI-ASV-191208	ASVBAC002593	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	Cyanobium			
SBDI-ASV-191208	ASVBAC000260	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	LE011-02	sp1		
SBDI-ASV-191208	ASVBAC002638	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	RCC307			
SBDI-ASV-191208	ASVBAC002639	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	LE011-02	sp1		
SBDI-ASV-191208	ASVBAC000264	Bacteria	Cyanobacteriota	Cyanobacteriia	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena	biceps		
SBDI-ASV-191208	ASVBAC000275	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	Cyanobium			
